"seqnames","start","end","width","strand","V4","V5","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","feature_simplified"
"chr1",10180,10180,1,"*","TBP_peak_1",6.1936,"Promoter (1-2kb)",1,11869,14409,2541,1,"100287102","ENST00000456328.2",-1689,"Promoter (1-2kb)"
"chr1",32759,32759,1,"*","TBP_peak_2",5.41164,"Promoter (2-3kb)",1,30366,30503,138,1,"100302278","ENST00000607096.1",2393,"Promoter (2-3kb)"
"chr1",36526,36526,1,"*","TBP_peak_3",88.4997,"Promoter (<=1kb)",1,34554,36081,1528,2,"645520","ENST00000417324.1",-445,"Promoter (<=1kb)"
"chr1",38729,38729,1,"*","TBP_peak_4",8.82442,"Promoter (2-3kb)",1,34554,36081,1528,2,"645520","ENST00000417324.1",-2648,"Promoter (2-3kb)"
"chr1",69259,69259,1,"*","TBP_peak_5",7.54076,"Exon (ENST00000641515.2/79501, exon 3 of 3)",1,65419,71585,6167,1,"79501","ENST00000641515.2",3840,"Other Exon"
"chr1",115740,115740,1,"*","TBP_peak_6",12.4375,"Intron (ENST00000466430.5/ENST00000466430.5, intron 1 of 3)",1,92230,129217,36988,2,"124900384","ENST00000477740.5",13477,"Other Intron"
"chr1",199914,199914,1,"*","TBP_peak_7",7.15965,"Distal Intergenic",1,185217,195411,10195,2,"100996442","ENST00000623083.4",-4503,"Distal Intergenic"
"chr1",207031,207031,1,"*","TBP_peak_8",26.0051,"Distal Intergenic",1,185217,195411,10195,2,"100996442","ENST00000623083.4",-11620,"Distal Intergenic"
"chr1",348298,348298,1,"*","TBP_peak_9",10.245,"Exon (ENST00000458203.2/ENST00000458203.2, exon 1 of 1)",1,258144,359681,101538,2,"124900618","ENST00000441866.2",11383,"Other Exon"
"chr1",629764,629764,1,"*","TBP_peak_10",38.0117,"Promoter (1-2kb)",1,627377,631150,3774,2,"101928626","ENST00000452176.2",1386,"Promoter (1-2kb)"
"chr1",630353,630353,1,"*","TBP_peak_11",21.5012,"Promoter (<=1kb)",1,627377,631150,3774,2,"101928626","ENST00000452176.2",797,"Promoter (<=1kb)"
"chr1",631237,631237,1,"*","TBP_peak_12",25.22,"Promoter (<=1kb)",1,594198,631204,37007,2,"105378947","ENST00000641296.1",-33,"Promoter (<=1kb)"
"chr1",632251,632251,1,"*","TBP_peak_13",34.9144,"Promoter (<=1kb)",1,594191,633129,38939,2,"105378947","ENST00000440196.3",878,"Promoter (<=1kb)"
"chr1",632839,632839,1,"*","TBP_peak_14",15.4432,"Promoter (<=1kb)",1,594191,633129,38939,2,"105378947","ENST00000440196.3",290,"Promoter (<=1kb)"
"chr1",633482,633482,1,"*","TBP_peak_15",12.9869,"Promoter (<=1kb)",1,594191,633129,38939,2,"105378947","ENST00000440196.3",-353,"Promoter (<=1kb)"
"chr1",634045,634045,1,"*","TBP_peak_16",31.9525,"Promoter (<=1kb)",1,594191,633129,38939,2,"105378947","ENST00000440196.3",-916,"Promoter (<=1kb)"
"chr1",778671,778671,1,"*","TBP_peak_17",66.5671,"Promoter (<=1kb)",1,725885,778663,52779,2,"100288069","ENST00000506640.3",-8,"Promoter (<=1kb)"
"chr1",789888,789888,1,"*","TBP_peak_18",3.48929,"Intron (ENST00000655765.1/105378580, intron 1 of 2)",1,784396,807321,22926,1,"124903817","ENST00000586288.1",5492,"Other Intron"
"chr1",790820,790820,1,"*","TBP_peak_19",4.82636,"Intron (ENST00000655765.1/105378580, intron 1 of 2)",1,784396,807321,22926,1,"124903817","ENST00000586288.1",6424,"Other Intron"
"chr1",812731,812731,1,"*","TBP_peak_20",5.99773,"Intron (ENST00000635509.2/105378947, intron 1 of 3)",1,817371,819837,2467,1,"400728","ENST00000326734.2",-4640,"Other Intron"
"chr1",827724,827724,1,"*","TBP_peak_21",26.0886,"Promoter (<=1kb)",1,827721,854422,26702,1,"643837","ENST00000702098.1",3,"Promoter (<=1kb)"
"chr1",842990,842990,1,"*","TBP_peak_22",3.74711,"Exon (ENST00000669922.1/643837, exon 3 of 3)",1,851348,852752,1405,1,"643837","ENST00000425657.1",-8358,"Other Exon"
"chr1",889661,889661,1,"*","TBP_peak_23",9.1865,"Distal Intergenic",1,874529,877234,2706,2,"284593","ENST00000635557.1",-12427,"Distal Intergenic"
"chr1",904806,904806,1,"*","TBP_peak_24",67.9417,"Promoter (<=1kb)",1,904834,915976,11143,1,"284600","ENST00000607769.1",-28,"Promoter (<=1kb)"
"chr1",921246,921246,1,"*","TBP_peak_25",9.45465,"Promoter (1-2kb)",1,916870,919692,2823,2,"100130417","ENST00000417705.1",-1554,"Promoter (1-2kb)"
"chr1",959208,959208,1,"*","TBP_peak_26",25.6426,"Promoter (<=1kb)",1,944203,959256,15054,2,"26155","ENST00000327044.7",48,"Promoter (<=1kb)"
